Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Shares Short (prior month)
0,0,SFLY,0,0,0,0,2730000000.0,2800000000.0,95.48,34.29,1.16,2.3,4.93,2.35,16.87,2.53,7.45,4.06,5.42,1190000000.0,35.94,5.8,569080000.0,165730000.0,30090000.0,0.88,22.8,667920000.0,20.54,708670000.0,128.68,1.4,17.05,239520000.0,167520000.0,1.37,77.03,54.68,1140000.0,32520000.000000004,30350000.0,0.92,118.86,6090000.0,6.47,24.63,5540000.0
0,0,SHLD,0,0,0,0,250090000.0,4440000000.0,,-0.14,0.0,0.01,,0.27,-2.72,-2.29,-11.59,-14.56,,16700000000.0,155.51,-27.7,4690000000.0,-1630000000.0,-383000000.0,-3.57,,182000000.0,1.69,4380000000.0,,0.78,-34.54,,,-0.58,2.41,4.42,2000000.0,107800000.0,30410000.0,37.01,53.58,13430000.0,8.98,58.61,13510000.0
0,0,SHW,0,0,0,0,37930000000.0,48480000000.0,21.7,18.45,1.15,2.53,10.25,3.24,19.78,11.83,13.08,9.17,65.12,14980000000.0,161.27,43.0,6780000000.0,2450000000.0,1810000000.0,18.67,342.0,204210000.0,2.19,10520000000.0,284.94,1.12,39.53,1880000000.0,1260000000.0,1.46,403.98,394.45,93610000.0,93610000.0,82560000.0,12.3,77.21,1530000.0,3.3,1.88,1740000.0
0,0,SIAL,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,SIRI,0,0,0,0,28610000000.0,35070000000.0,45.5,22.75,1.06,5.27,,6.46,17.66,11.94,31.09,12.91,,5430000000.0,1.17,7.7,2820000000.0,1990000000.0,647910000.0,0.14,,69020000.0,0.01,6750000000.0,,0.17,-0.34,1860000000.0,1160000000.0,1.2,6.22,5.7,21150000.0,4490000000.0,1180000000.0,71.29,20.53,216220000.0,12.35,14.49,223130000.0
0,0,SJM,0,0,0,0,13650000000.0,19010000000.0,10.84,13.25,1.69,1.85,1.75,2.58,11.65,17.16,16.52,4.88,16.79,7360000000.0,64.96,1.3,2840000000.0,1630000000.0,1260000000.0,11.08,517.6,186200000.0,1.64,4940000000.0,63.33,1.48,68.7,1170000000.0,930480000.0,0.27,124.93,116.19,1040000.0,113600000.0,109010000.0,4.37,79.6,7810000.0,6.74,7.98,7730000.0
0,0,SLB,0,0,0,0,93880000000.0,104590000000.0,,21.24,0.55,3.08,2.54,3.44,15.47,-4.94,9.6,2.44,-3.84,30440000000.0,21.93,15.1,3900000000.0,6760000000.0,-1500000000.0,-1.08,,5090000000.0,3.68,18200000000.0,48.84,1.21,26.62,5660000000.0,2980000000.0,1.06,67.5,67.43,8840000.0,1390000000.0,1380000000.0,0.08,81.54,19820000.0,2.06,1.42,21320000.0
0,0,SLM,0,0,0,0,4920000000.0,6590000000.0,18.29,9.53,0.43,5.23,2.36,7.01,,30.72,52.25,1.43,11.99,940550000.0,2.18,9.6,,,273220000.0,0.62,-33.1,1530000000.0,3.54,3280000000.0,132.45,1.37,4.8,-166910000.0,,1.29,11.13,11.05,4110000.0000000005,433550000.0,430750000.0,0.65,101.36,17310000.0,5.35,4.56,17450000.0
0,0,SNA,0,0,0,0,8600000000.0,9720000000.0,15.93,12.0,0.87,2.15,2.91,2.43,9.66,13.94,23.19,11.63,20.41,4000000000.0,69.69,9.4,2040000000.0,1010000000.0,557700000.0,9.52,-11.5,91800000.0,1.62,1200000000.0,40.5,1.78,52.11,608500000.0,536490000.0,0.9,158.86,161.64,56710000.0,56710000.0,56070000.0,1.11,103.33,,0.0,0.0,3.28
0,0,SNDK,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,SNE,0,0,0,0,61580000000.0,57010000000.0,12.47,15.61,0.16,0.77,2.15,0.71,4.87,6.3,11.22,3.21,17.51,80030000000.0,63.35,11.5,11700000000.0,11700000000.0,5040000000.0,3.91,1407.3,20000000000.0,15.81,12970000000.0,36.93,0.92,22.64,10890000000.0,7490000000.0,1.73,49.61,44.86,1180000.0,1260000000.0,1240000000.0,0.0,7.08,1410000.0,1.14,0.0,0.2
0,0,SNI,0,0,0,0,11710000000.0,14100000000.0,18.92,15.34,2.24,3.29,4.21,3.96,9.69,17.52,36.62,12.81,30.5,3560000000.0,27.35,7.6,2310000000.0,1460000000.0,623930000.0,4.76,26.5,130360000.00000001,1.0,2520000000.0,81.06,3.05,21.36,1060000000.0,1890000000.0,,88.28,84.98,1420000.0,96250000.0,87840000.0,9.46,88.8,4610000.0,4.01,5.26,2550000.0
0,0,SNTS,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,SO,0,0,0,0,44260000000.0,93950000000.0,52.26,14.44,5.6,1.92,1.83,4.08,15.55,3.66,11.22,1.46,3.37,23030000000.0,23.02,8.6,10170000000.0,6040000000.0,842000000.0,0.84,151.3,2130000000.0,2.11,50790000000.0,196.48,0.74,23.99,6390000000.0,-4570000000.0,0.1,43.93,48.17,7550000.0,1010000000.0,1010000000.0,0.05,59.21,22250000.0,5.32,2.24,21700000.0
0,0,SPG,0,0,0,0,55260000000.0,72000000000.0,24.73,21.68,2.7,9.98,13.18,13.0,17.54,35.17,50.6,5.53,47.13,5540000000.0,17.78,-0.0,4560000000.0,4110000000.0000005,1940000000.0,6.24,44.7,1480000000.0,4.76,24630000000.0,556.13,0.59,11.71,3590000000.0,1810000000.0,0.74,156.31,161.1,1850000.0,311160000.0,309060000.0,0.5,96.84,16570000.0,8.69,6.24,14930000.0
0,0,SPLS,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,SRCL,0,0,0,0,5280000000.0,8029999999.999999,228.48,12.99,1.96,1.47,1.82,2.24,10.64,1.18,14.1,4.52,1.5,3580000000.0,41.98,-2.0,1460000000.0,754500000.0,23400000.0,0.27,377.5,42200000.0,0.49,2740000000.0,94.26,0.84,33.88,508600000.0,720080000.0,0.3,67.6,68.67,85540000.0,85540000.0,84470000.0,1.29,99.13,,,0.0,
0,0,SRE,0,0,0,0,29140000000.0,47570000000.0,109.32,16.81,1.82,2.6,2.19,4.24,12.43,2.28,20.87,2.98,2.3,11210000000.0,44.55,3.3,4260000000.0,3830000000.0,256000000.0,1.01,,293000000.0,1.15,19630000000.0,129.64,0.5,50.41,3620000000.0,-1220000000.0,0.54,108.1,112.8,2600000.0,263880000.0,254880000.0,0.16,92.58,,0.0,0.0,3.58
0,0,STI,0,0,0,0,33189999999.999996,37740000000.0,15.85,12.82,0.97,3.87,1.48,4.4,,26.5,35.6,1.11,9.36,8580000000.0,17.82,6.4,,,2180000000.0,4.47,59.1,10510000000.0,22.32,14970000000.0,,,47.94,5510000000.0,,1.41,70.28,63.72,3340000.0,468300000.0,469190000.0,0.33,84.94,,0.0,0.0,1.6
0,0,STJ,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,STT,0,0,0,0,39270000000.0,-13320000000.0,20.38,12.63,0.68,3.52,2.05,-1.19,,19.49,30.12,0.9,10.0,11170000000.0,29.8,12.7,,,1990000000.0,5.24,-37.6,77680000000.0,211.29,25340000000.0,,,52.01,6930000000.0,,1.44,105.22,99.33,1780000.0,367650000.0,345250000.0,0.79,93.34,4240000.0,2.39,1.12,3840000.0
0,0,STX,0,0,0,0,17059999999.999998,19380000000.0,27.25,12.13,1.46,1.61,16.07,1.82,9.48,6.1,12.88,9.89,50.15,10630000000.0,36.39,0.7,3210000000.0,2040000000.0,648000000.0,2.2,-46.5,2560000000.0,8.97,4880000000.0,459.57,1.58,3.73,1760000000.0,1050000000.0,1.85,54.15,43.13,4820000.0,284830000.0,260500000.0,54.42,0.0,42160000.0,7.28,21.92,40320000.0
0,0,STZ,0,0,0,0,44000000000.0,53510000000.0,24.6,23.6,1.5,5.91,5.51,7.19,19.57,24.78,32.93,7.98,24.84,7450000000.0,38.13,-0.6,3530000000.0,2740000000.0,1850000000.0,9.19,21.0,154500000.0,0.79,9350000000.0,116.75,1.4,41.06,1750000000.0,458280000.0,0.01,219.46,215.69,1930000.0,171380000.0,170980000.0,5.36,86.18,4970000.0,4.38,3.05,4800000.0
0,0,SWK,0,0,0,0,24690000000.0,27680000000.0,19.93,16.92,1.71,1.94,3.27,2.17,13.33,9.62,12.68,5.82,16.71,12750000000.0,85.19,16.9,4780000000.0,2080000000.0,1230000000.0,8.04,10.2,637500000.0,4.14,3890000000.0,46.84,1.05,48.99,1420000000.0,1220000000.0,1.16,158.77,161.4,1150000.0,154110000.0,153210000.0,0.66,86.27,1850000.0,1.87,1.22,1440000.0
0,0,SWN,0,0,0,0,2640000000.0,5700000000.0,2.79,5.29,0.37,0.83,7.52,1.78,3.43,32.66,36.12,9.91,72.24,3200000000.0,6.43,18.3,2530000000.0,1660000000.0,815000000.0,1.63,,916000000.0,1.81,4390000000.0,221.93,1.93,0.61,1100000000.0,-478250000.0,0.98,4.0,5.3,26540000.0,580770000.0,502840000.0,0.6,81.51,41700000.0,2.38,10.64,42500000.0
0,0,SWY,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,SYK,0,0,0,0,61710000000.0,66769999999.99999,61.47,21.09,2.34,4.96,6.19,5.36,19.61,8.2,22.19,8.1,10.44,12440000000.0,33.27,9.9,8170000000.0,3400000000.0,1020000000.0,2.68,,2840000000.0,7.57,7220000000.0,72.36,2.29,26.62,1560000000.0,982880000.0,0.5,161.13,154.59,1300000.0,374640000.0,330110000.0,14.68,76.79,,,0.0,
0,0,SYMC,0,0,0,0,16739999999.999998,19540000000.0,16.64,14.88,1.39,3.53,3.38,4.12,22.75,22.24,5.17,0.93,22.63,4740000000.0,7.71,16.1,3170000000.0,859000000.0,1010000000.0,1.62,2817.4,2530000000.0,4.07,5590000000.0,112.69,1.15,7.98,1030000000.0,1400000000.0,0.85,26.98,29.27,6340000.0,621540000.0,617050000.0,0.92,99.01,24640000.0,4.08,5.14,18460000.0
0,0,SYY,0,0,0,0,31470000000.0,39300000000.0,27.08,17.23,1.39,0.55,13.86,0.69,12.8,2.1,4.04,8.03,49.22,57010000000.0,107.46,7.1,10560000000.0,3070000000.0,1200000000.0,2.23,3.3,961190000.0,1.84,8890000000.0,386.03,1.38,4.35,2470000000.0,1750000000.0,0.49,59.81,57.81,2530000.0,521919999.99999994,475850000.0,0.27,80.84,14100000.0,5.88,2.96,15200000.0
0,0,T,0,0,0,0,233830000000.0,338350000000.0,7.56,10.43,1.12,1.46,1.57,2.11,7.45,18.34,14.86,3.52,22.43,160550000000.0,26.05,-0.4,83170000000.0,45440000000.0,29450000000.0,4.76,681.2,50500000000.0,8.22,165670000000.0,116.66,0.97,22.94,39150000000.0,20500000000.0,0.42,36.87,36.7,27960000.0,6500000000.0,6140000000.0,0.08,60.79,224140000.0,4.86,3.65,233080000.0
0,0,TAP,0,0,0,0,16399999999.999998,27470000000.0,11.65,13.75,1.47,1.49,1.24,2.5,10.46,12.85,16.67,3.85,11.45,11000000000.0,51.08,12.4,4790000000.0,2630000000.0,1410000000.0,6.53,-58.1,418600000.0,1.94,11310000000.0,84.21,0.64,61.4,1870000000.0,1250000000.0,0.59,79.04,81.46,1580000.0,195430000.0,180560000.0,11.79,86.62,3830000.0,2.51,2.23,3830000.0
0,0,TDC,0,0,0,0,5070000000.0,4830000000.0,,24.24,3.48,2.35,7.65,2.24,36.32,-3.11,3.25,1.76,-8.18,2160000000.0,17.14,0.0,1020000000.0,133000000.0,-67000000.0,-0.53,,1090000000.0,8.93,778000000.0,116.47,1.65,5.48,324000000.0,203380000.0,1.51,39.42,36.69,1330000.0,120910000.0,120670000.0,1.09,107.37,20340000.0,13.52,20.72,19480000.0
0,0,TE,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,TEG,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,TEL,0,0,0,0,36750000000.0,39980000000.0,30.24,17.59,2.03,2.72,3.82,2.95,13.7,9.12,16.82,7.81,13.3,13530000000.0,38.22,13.6,4450000000.0,2920000000.0,1230000000.0,3.46,,704000000.0,2.01,4000000000.0,41.58,1.58,27.41,2270000000.0,879370000.0,1.1,101.91,94.21,1730000.0,351080000.0,350410000.0,68.53,0.0,3480000.0,2.87,0.98,3140000.0
0,0,TER,0,0,0,0,9670000000.0,8210000000.000001,38.67,16.23,0.87,4.53,4.95,3.84,12.68,12.06,25.24,11.48,13.63,2140000000.0000002,10.79,26.2,1220000000.0,647430000.0,257690000.0,1.28,,1780000000.0,9.1,365990000.0,18.73,5.0,9.99,626490000.0,394430000.0,1.15,45.45,42.25,2530000.0,195420000.0,194620000.0,0.4,99.45,7990000.0,3.03,4.01,6790000.0
0,0,TGT,0,0,0,0,37790000000.0,47500000000.0,13.16,12.82,2.18,0.53,3.24,0.66,6.94,4.08,6.13,7.2,25.84,71880000000.0,131.45,10.0,20750000000.0,6850000000.0,2930000000.0,5.33,34.8,2640000000.0,4.91,11590000000.0,98.96,0.95,21.62,6920000000.0,3940000000.0,0.42,73.13,65.25,6890000.0,538800000.0,537970000.0,0.14,90.22,52280000.0,7.48,9.48,53690000.0
0,0,THC,0,0,0,0,2470000000.0,16820000000.0,,15.2,1.18,0.13,,0.88,7.44,-3.67,7.24,3.61,-10.88,19180000000.0,190.66,2.4,16090000000.0,2260000000.0,-704000000.0,-7.0,,611000000.0,6.04,14940000000.0,621.08,1.29,-1.46,1200000000.0,413620000.0,1.03,20.82,16.49,2420000.0,101110000.0,75490000.0,2.32,123.78,,0.0,0.0,500.0
0,0,TIBX,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,TIF,0,0,0,0,12070000000.0,11870000000.0,32.78,19.6,2.36,2.9,3.74,2.85,11.86,8.88,19.05,9.4,11.79,4170000000.0,33.49,8.5,2490000000.0,1000000000.0,370100000.0,2.96,-60.8,1290000000.0,10.38,1000000000.0,30.89,5.5,25.97,932200000.0,561710000.0,1.59,101.93,98.25,1480000.0,124400000.0,123150000.0,0.79,95.1,4950000.0,4.63,4.6,4590000.0
0,0,TJX,0,0,0,0,52410000000.0,51210000000.0,20.54,15.61,1.69,1.46,10.28,1.43,10.86,7.27,11.12,18.5,54.0,35860000000.0,55.51,15.8,9620000000.0,4710000000.0,2610000000.0,4.04,29.4,3260000000.0,5.11,2230000000.0,43.33,1.66,8.06,3030000000.0,1670000000.0,0.32,79.48,75.12,4410000.0,632300000.0,637220000.0,0.08,93.35,18080000.0,3.68,2.81,16520000.0
0,0,TM,0,0,0,0,187960000000.0,327420000000.0,8.55,,,0.68,1.06,1.19,8.84,8.25,7.55,2.78,13.38,275930000000.0,186.34,7.4,37050000000.0,37050000000.0,22650000000.0,15.13,93.6,54650000000.0,37.2,192180000000.0,103.47,1.04,122.02,38660000000.0,-7510000000.0,0.92,133.84,127.77,2970000000.0,2970000000.0,1130000000.0,0.0,0.77,122.0,0.0,0.0,623.0
0,0,TMK,0,0,0,0,9820000000.0,11030000000.0,7.04,13.22,1.77,2.36,1.58,2.65,11.91,35.0,22.02,2.55,27.01,4160000000.0,35.72,8.4,1660000000.0,925680000.0,1460000000.0,12.23,660.7,245630000.0,2.15,1460000000.0,23.43,0.45,54.38,1430000000.0,644750000.0,0.83,85.72,85.53,114080000.0,114080000.0,105430000.0,2.0,78.21,,,0.0,
0,0,TMO,0,0,0,0,85560000000.0,106070000000.0,38.08,17.67,1.66,4.09,3.36,5.07,20.17,10.64,15.42,3.93,9.49,20920000000.0,52.96,22.1,9450000000.0,5260000000.0,2230000000.0,5.59,-16.1,1340000000.0,3.32,21130000000.0,83.15,1.34,63.32,4000000000.0,2780000000.0,1.32,210.76,198.81,1450000.0,401780000.0,400900000.0,0.18,90.55,4200000.0,2.55,1.08,3970000.0
0,0,TRIP,0,0,0,0,5780000000.0,5700000000.0,,31.27,3.0,3.71,4.24,3.66,32.93,-1.22,7.97,3.44,-1.33,1560000000.0,11.08,1.6,1480000000.0,173000000.0,-19000000.0,-0.14,,708000000.0,5.09,321000000.0,23.55,2.67,9.81,238000000.0,168120000.0,0.97,40.63,38.24,3180000.0,126180000.0,107500000.0,14.87,104.34,21800000.0,4.42,22.5,19610000.0
0,0,TROW,0,0,0,0,27540000000.0,25110000000.0,18.86,14.87,1.03,5.75,4.74,5.24,11.4,31.25,42.95,18.7,25.27,4790000000.0,19.87,17.9,4790000000.0,2200000000.0,1460000000.0,5.97,-8.6,2270000000.0,9.27,,,4.33,23.76,229500000.0,1460000000.0,1.11,111.05,101.53,1700000.0,244600000.0,237760000.0,3.85,74.56,9430000.0,7.09,4.01,10290000.0
0,0,TRV,0,0,0,0,38300000000.0,39630000000.0,19.25,12.39,0.55,1.33,1.61,1.37,10.13,7.11,10.72,1.9,8.76,28900000000.0,104.72,5.4,11440000000.0,3910000000.0,2040000000.0,7.33,-41.6,5240000000.0,19.3,6570000000.0,27.69,0.41,87.44,3760000000.0,9660000000.0,1.32,140.98,133.55,1880000.0,271430000.0,270520000.0,0.61,82.24,5840000.0,3.33,2.1,5430000.0
0,0,TSLA,0,0,0,0,53470000000.0,61210000000.0,,135.27,-1.39,4.55,12.61,5.2,2059.63,-16.68,-13.66,-3.91,-38.84,11760000000.0,70.94,43.9,2220000000.0,29720000.0,-1960000000.0,-11.83,,3370000000.0,19.94,12120000000.0,215.12,0.86,25.1,-60650000.0,-1440000000.0,0.78,333.75,334.17,5680000.0,168920000.0,125970000.0,25.49,61.6,30130000.0,4.7,28.74,28090000.0
0,0,TSN,0,0,0,0,27080000000.0,36590000000.0,9.68,10.65,1.42,0.69,2.27,0.93,9.31,7.15,8.06,7.87,26.14,39310000000.0,107.47,11.4,5080000000.0,3930000000.0,2810000000.0,7.61,175.0,295000000.0,0.8,9690000000.0,80.89,1.51,32.53,2590000000.0,486250000.0,0.17,74.86,75.13,2120000.0,297500000.0,290650000.0,2.06,90.94,,0.0,0.0,500.0
0,0,TSO,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,TSS,0,0,0,0,16200000000.0,19090000000.0,28.21,18.85,1.46,3.29,7.2,3.87,19.44,11.9,14.9,7.23,26.43,4930000000.0,26.88,12.5,1350000000.0,981990000.0,584810000.0,3.16,227.5,450360000.0,2.48,3190000000.0,135.52,1.09,12.39,856490000.0,664490000.0,1.35,87.48,77.2,1290000.0,181730000.0,178900000.0,1.99,79.03,2160000.0,1.73,1.2,2620000.0
0,0,TWC,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,TWX,0,0,0,0,74310000000.0,96210000000.0,14.36,11.62,1.28,2.38,2.62,3.08,10.59,16.78,26.82,7.76,19.87,31270000000.0,40.27,9.1,13620000000.0,9080000000.0,5230000000.0,6.64,374.1,2620000000.0,3.36,23740000000.0,83.57,1.08,36.38,5080000000.0,14130000000.0,0.84,94.95,95.41,4950000.0,779850000.0,777730000.0,0.26,82.7,15700000.0,1.23,2.03,13390000.0
0,0,TXN,0,0,0,0,106800000000.0,107290000000.0,30.13,19.19,1.76,7.14,10.33,7.17,15.44,24.61,40.73,22.36,35.39,14960000000.0,15.1,9.8,9610000000.0,6950000000.0,3650000000.0,3.61,-67.1,4470000000.0,4.54,4080000000.0,39.44,3.87,10.51,5360000000.0,4040000000.0,1.18,106.94,99.84,6140000.0,983110000.0,981270000.0,0.1,86.74,11010000.0,2.52,1.25,9720000.0
0,0,TXT,0,0,0,0,15380000000.0,18230000000.0,51.84,16.75,1.91,1.08,2.75,1.28,12.29,2.16,7.3,4.22,5.45,14200000000.0,53.3,5.0,2400000000.0,1480000000.0,306000000.0,1.14,,1080000000.0,4.12,3910000000.0,69.28,2.18,21.6,953000000.0,858500000.0,1.4,58.81,55.87,1550000.0,259329999.99999997,260870000.0,0.16,84.14,5870000.0,3.71,2.53,7170000.0
0,0,TYC,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,UA,0,0,0,0,6610000000.0,6830000000.0,,37.03,13.17,1.33,3.08,1.37,20.65,-0.97,3.15,2.57,-2.38,4980000000.0,11.29,4.6,2240000000.0,330720000.0,-48260000.0,-0.11,,312480000.0,0.71,917050000.0,45.43,2.2,4.57,234060000.0,-52340000.0,-0.23,14.33,13.86,5210000.0,222440000.0,383070000.0,15.86,65.7,33420000.0,4.02,0.0,32530000.0
